type,emoji
astro,🚀
audio,🔈
bicep,💪
bun,🐰
c,🏎
code,📄
coffeescript,☕
cpp,🔠
crystal,💎
csharp,#️⃣
csproj,🎯
css,🎨
cue,🎯
dart,🎯
default,📄
deno,🦕
diff,📊
docker,🐳
document,📝
elixir,💧
elm,🌳
erlang,📟
eslint,⚙️
font,🔡
fsharp,🎭
fsproj,🎭
gitlab,🦊
gleam,✨
go,🐹
graphql,📊
haskell,🧮
hcl,🔧
heroku,☁️
html,📄
image,🖼️
java,☕
javascript,📒
json,💾
julia,📊
kotlin,🎯
license,⚖️
lock,🔒
log,📋
lua,🌙
luau,🎮
markdown,📝
metal,⚙️
nim,🐱
nix,❄️
ocaml,🐫
phoenix,🐦‍🔥
php,🐘
prettier,💅
prisma,💎
python,🐍
r,📊
react,⚛️
roc,🪨
ruby,💎
rust,🦀
sass,💅
scala,📈
settings,⚙️
solidity,💰
storage,💾
stylelint,💄
svelte,🧡
swift,🦩
tcl,⚡
template,📋
terminal,🖥️
terraform,🏗️
toml,📄
typescript,📘
v,⚡
vbproj,🎯
vcs,📦
video,🎞
vs_sln,🪟
vs_suo,🪟
vue,💚
zig,⚡
